Fecha,Porcentaje promedio reproducido (%)
2026-01-01,11.02
2026-01-02,21.51
2026-01-03,4.62
2026-01-04,9.19
2026-01-05,7.28
2026-01-06,3.24
2026-01-07,6.01
2026-01-08,20.25
2026-01-09,12.97
2026-01-10,13.27
2026-01-11,13.49
2026-01-12,8.83
2026-01-13,38.84
2026-01-14,22.33
2026-01-15,20.81
2026-01-16,13.31
2026-01-17,15.72
2026-01-18,18.95
2026-01-19,15.15
2026-01-20,6.36
2026-01-21,12.71
2026-01-22,21.13
2026-01-23,17.25
2026-01-24,12.93
2026-01-25,15.44
2026-01-26,15.39
2026-01-27,10.36
2026-01-28,11.5
2026-01-29,16.69
2026-01-30,11.19
2026-01-31,5.15
