Ciudades,Nombre de la ciudad,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
Total,,8120,355.28,0:03:51
0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",1497,108.9295,0:05:43
0x88cd774cbdf600e1:0x4e294d7e1a770d60,"La Habana, Cuba",69,2.6598,0:02:42
0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",59,3.3946,0:05:04
0xd422997800a3c81:0xc436dec1618c2269,"Madrid, España",44,0.2251,0:01:16
0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",26,0.3674,0:01:13
0x8e3f9bfd2da6cb29:0x239d635520a33914,"Bogotá, Colombia",21,0.1791,0:00:48
0x96a58a1999656469:0x9fbe15f44d1e6f96,"Antofagasta, Chile",18,0.1147,0:00:31
0x8f71560dd907880b:0x6c5ef4a2144f4c6a,"Managua, Nicaragua",15,0.2008,0:01:05
0xd4e4e27664b89b9:0x6534acc41e95a645,"Bilbao, Vizcaya, España",0,0,
0xd604f4cf0efb06f:0xb4a351011f7f1d39,"València, Valencia, España",0,0,
